"id","name","investment_firm","investor_type","firm_logo","short_description","investment_thesis","preferred_industries","preferred_startup_stages","preferred_funding_stages","preferred_business_models","preferred_locations","min_investment_amount","max_investment_amount","typical_check_size","portfolio_size","portfolio_companies","successful_exits","total_investments","website","linkedin","contact_email","application_url","verified","active","created_at","updated_at","about_details","banner_image","office_photo","portfolio_companies_json","recent_investments_json","representative_photo","team_members_json"
"1429","Temasek Ventures India","Temasek Ventures India","Early-Stage VC","https://images.unsplash.com/photo-1604871000636-074fa5117945?w=150&auto=format&fit=crop&q=60","Micro VC fund partnering with founders at the idea and prototype stage in Logistics and Edtech.","We are a stage-agnostic fund investing in market leaders in Logistics and Edtech. We prioritize sustainable business models, solid unit economics, and experienced execution teams.","[""Logistics"", ""Edtech"", ""Proptech"", ""AI & Machine Learning""]","[""Prototype"", ""Idea"", ""Early Traction"", ""MVP""]","[""Seed"", ""Series C""]","[""Transactional"", ""SaaS"", ""B2B2C""]","[""Pune"", ""Kochi""]","176000.0","4630000.0","1918000.0","78","BioFit, NovaCare, SaaSIq, ApexZone, DhanIfy","8","101","https://www.temasekventuresindia.vc","https://www.linkedin.com/company/temasekventuresindia","info@temasekventuresindia.vc","https://www.temasekventuresindia.vc/apply","true","true","2024-10-08 18:31:29","2024-12-29 18:31:29","### About Temasek Ventures India

Temasek Ventures India is a leading early/growth stage investor focusing on tech enablement. We backing startups in **Logistics**, **Edtech** and related sectors. Our core belief is that technology has the power to democratize access and scale solutions exponentially. 

We act as partners, not just capital providers. We work closely with founders on:
- Product development & roadmap
- Hiring and talent acquisition
- Follow-on fundraising syndication

Interested founders can submit their decks via https://www.temasekventuresindia.vc/apply.","https://images.unsplash.com/photo-1635070041078-e363dbe005cb?w=1200&auto=format&fit=crop&q=80","https://images.unsplash.com/photo-1497215728101-856f4ea42174?w=600&auto=format&fit=crop&q=80","[{""name"": ""BioFit"", ""logo"": ""https://logo.clearbit.com/biofit.com"", ""sector"": ""Edtech"", ""stage"": ""Seed""}, {""name"": ""NovaCare"", ""logo"": ""https://logo.clearbit.com/novacare.com"", ""sector"": ""Edtech"", ""stage"": ""Series C""}, {""name"": ""SaaSIq"", ""logo"": ""https://logo.clearbit.com/saasiq.com"", ""sector"": ""Logistics"", ""stage"": ""Seed""}]","[{""company_name"": ""AquaDhan"", ""amount"": 2006000.0, ""date"": ""2026-03-27"", ""stage"": ""Series C""}, {""company_name"": ""HyperBazaar"", ""amount"": 2209000.0, ""date"": ""2026-04-23"", ""stage"": ""Seed""}, {""company_name"": ""BioDesk"", ""amount"": 1680000.0, ""date"": ""2026-01-31"", ""stage"": ""Series C""}]","https://images.unsplash.com/photo-1519085360753-af0119f7cbe7?w=400&auto=format&fit=crop&q=80","[{""name"": ""Abhishek Verma"", ""role"": ""Managing Partner"", ""linkedin"": ""https://www.linkedin.com/company/temasekventuresindia""}, {""name"": ""Sudhir Gill"", ""role"": ""Partner"", ""linkedin"": ""https://www.linkedin.com/in/sudhir-gill""}]"
"1430","Bessemer Venture Capital","Bessemer Venture Capital","Venture Debt","https://images.unsplash.com/photo-1541701494587-cb58502866ab?w=150&auto=format&fit=crop&q=60","Leading institutional VC backing sector-defining startups in the Consumer Internet space.","We invest in double-bottom-line startups addressing systemic gaps in Consumer Internet and HRTech. We look for high social/environmental impact combined with commercially viable models.","[""Consumer Internet"", ""HRTech"", ""Climate Tech"", ""Logistics"", ""Agritech"", ""Proptech""]","[""Growth"", ""Early Traction"", ""Prototype""]","[""Series B"", ""Pre-Series A""]","[""B2C"", ""SaaS"", ""Subscription"", ""B2B""]","[""Ahmedabad"", ""Chennai""]","617000.0","5830000.0","2328000.0","127","AquaTrip, LinkMoney, CloudPe, DukaanStack, SwasthHub","2","157","https://www.bessemerventurecapital.vc","https://www.linkedin.com/company/bessemerventurecapital","info@bessemerventurecapital.vc","https://www.bessemerventurecapital.vc/apply","true","true","2025-08-11 18:31:29","2025-11-04 18:31:29","### About Bessemer Venture Capital

Bessemer Venture Capital is a leading early/growth stage investor focusing on tech enablement. We backing startups in **Consumer Internet**, **HRTech** and related sectors. Our core belief is that technology has the power to democratize access and scale solutions exponentially. 

We act as partners, not just capital providers. We work closely with founders on:
- Product development & roadmap
- Hiring and talent acquisition
- Follow-on fundraising syndication

Interested founders can submit their decks via https://www.bessemerventurecapital.vc/apply.","https://images.unsplash.com/photo-1618005198143-e528346d9a59?w=1200&auto=format&fit=crop&q=80","https://images.unsplash.com/photo-1497366811353-6870744d04b2?w=600&auto=format&fit=crop&q=80","[{""name"": ""AquaTrip"", ""logo"": ""https://logo.clearbit.com/aquatrip.com"", ""sector"": ""Logistics"", ""stage"": ""Series B""}, {""name"": ""LinkMoney"", ""logo"": ""https://logo.clearbit.com/linkmoney.com"", ""sector"": ""Climate Tech"", ""stage"": ""Series B""}, {""name"": ""CloudPe"", ""logo"": ""https://logo.clearbit.com/cloudpe.com"", ""sector"": ""Consumer Internet"", ""stage"": ""Series B""}]","[{""company_name"": ""InnoLy"", ""amount"": 2265000.0, ""date"": ""2025-07-15"", ""stage"": ""Series B""}, {""company_name"": ""RupeeHub"", ""amount"": 2428000.0, ""date"": ""2025-10-10"", ""stage"": ""Series B""}, {""company_name"": ""FinKart"", ""amount"": 2292000.0, ""date"": ""2026-01-21"", ""stage"": ""Series B""}]","https://images.unsplash.com/photo-1544005313-94ddf0286df2?w=400&auto=format&fit=crop&q=80","[{""name"": ""Sanjay Chatterjee"", ""role"": ""Managing Partner"", ""linkedin"": ""https://www.linkedin.com/company/bessemerventurecapital""}, {""name"": ""Zoya Dutta"", ""role"": ""Associate"", ""linkedin"": ""https://www.linkedin.com/in/zoya-dutta""}, {""name"": ""Tarun Patel"", ""role"": ""Venture Partner"", ""linkedin"": ""https://www.linkedin.com/in/tarun-patel""}]"
"1431","Jungle Labs","Jungle Labs","Corporate VC (CVC)","https://images.unsplash.com/photo-1618005182384-a83a8bd57fbe?w=150&auto=format&fit=crop&q=60","Venture debt fund providing flexible capital solutions to scaling startups in Agritech.","Our focus is on backing world-class product builders creating solutions in Agritech and E-commerce for global markets. We take a hands-on approach to helping startups build product-market fit.","[""Agritech"", ""E-commerce"", ""Web3""]","[""MVP"", ""Prototype"", ""Growth""]","[""Series A"", ""Late Stage"", ""Pre-Series A""]","[""D2C"", ""Subscription"", ""SaaS"", ""B2C""]","[""Noida"", ""Chennai""]","3220000.0","35710000.0","8523000.0","38","MandiLabs, SehatShow, BharatIfy, KrishiWorks, UrjaTrip, SehatFit, BioFit","6","79","https://www.junglelabs.vc","https://www.linkedin.com/company/junglelabs","info@junglelabs.vc","https://www.junglelabs.vc/apply","true","true","2025-02-17 18:31:29","2025-05-07 18:31:29","### About Jungle Labs

Jungle Labs is a leading early/growth stage investor focusing on tech enablement. We backing startups in **Agritech**, **E-commerce** and related sectors. Our core belief is that technology has the power to democratize access and scale solutions exponentially. 

We act as partners, not just capital providers. We work closely with founders on:
- Product development & roadmap
- Hiring and talent acquisition
- Follow-on fundraising syndication

Interested founders can submit their decks via https://www.junglelabs.vc/apply.","https://images.unsplash.com/photo-1635070041078-e363dbe005cb?w=1200&auto=format&fit=crop&q=80","https://images.unsplash.com/photo-1531973576160-7125cd663d86?w=600&auto=format&fit=crop&q=80","[{""name"": ""MandiLabs"", ""logo"": ""https://logo.clearbit.com/mandilabs.com"", ""sector"": ""Web3"", ""stage"": ""Pre-Series A""}, {""name"": ""SehatShow"", ""logo"": ""https://logo.clearbit.com/sehatshow.com"", ""sector"": ""Agritech"", ""stage"": ""Pre-Series A""}, {""name"": ""BharatIfy"", ""logo"": ""https://logo.clearbit.com/bharatify.com"", ""sector"": ""Agritech"", ""stage"": ""Pre-Series A""}]","[{""company_name"": ""LogiDesk"", ""amount"": 8888000.0, ""date"": ""2025-09-29"", ""stage"": ""Late Stage""}, {""company_name"": ""LensGo"", ""amount"": 9527000.0, ""date"": ""2026-01-20"", ""stage"": ""Series A""}]","https://images.unsplash.com/photo-1560250097-0b93528c311a?w=400&auto=format&fit=crop&q=80","[{""name"": ""Rajesh Rao"", ""role"": ""Managing Partner"", ""linkedin"": ""https://www.linkedin.com/company/junglelabs""}, {""name"": ""Zoya Goel"", ""role"": ""Associate"", ""linkedin"": ""https://www.linkedin.com/in/zoya-goel""}, {""name"": ""Anil Vance"", ""role"": ""Venture Partner"", ""linkedin"": ""https://www.linkedin.com/in/anil-vance""}]"
"1432","Peak Growth Fund","Peak Growth Fund","Micro VC","https://images.unsplash.com/photo-1620641788421-7a1c342ea42e?w=150&auto=format&fit=crop&q=60","Venture debt fund providing flexible capital solutions to scaling startups in Climate Tech.","We believe that the next decade of growth in India will be driven by digitizing traditional industries like Climate Tech and HRTech. We invest in category-defining companies with high capital efficiency.","[""Climate Tech"", ""HRTech"", ""Logistics"", ""Fintech"", ""Insurtech"", ""Cybersecurity"", ""CleanTech""]","[""Early Traction"", ""MVP"", ""Growth""]","[""Late Stage"", ""Series B"", ""Seed"", ""Series A"", ""Growth""]","[""D2C"", ""Subscription"", ""Transactional""]","[""Pune"", ""Mumbai"", ""Hyderabad"", ""Bengaluru""]","110000.0","660000.0","317000.0","76","GrowStay, GuruRoom, DesiCare, SaaSMetrics","4","87","https://www.peakgrowthfund.com","https://www.linkedin.com/company/peakgrowthfund","info@peakgrowthfund.com","https://www.peakgrowthfund.com/apply","true","true","2025-07-14 18:31:29","2025-09-09 18:31:29","### About Peak Growth Fund

Peak Growth Fund is a leading early/growth stage investor focusing on tech enablement. We backing startups in **Climate Tech**, **HRTech** and related sectors. Our core belief is that technology has the power to democratize access and scale solutions exponentially. 

We act as partners, not just capital providers. We work closely with founders on:
- Product development & roadmap
- Hiring and talent acquisition
- Follow-on fundraising syndication

Interested founders can submit their decks via https://www.peakgrowthfund.com/apply.","https://images.unsplash.com/photo-1618005198143-e528346d9a59?w=1200&auto=format&fit=crop&q=80","https://images.unsplash.com/photo-1524758631624-e2822e304c36?w=600&auto=format&fit=crop&q=80","[{""name"": ""GrowStay"", ""logo"": ""https://logo.clearbit.com/growstay.com"", ""sector"": ""Insurtech"", ""stage"": ""Series B""}, {""name"": ""GuruRoom"", ""logo"": ""https://logo.clearbit.com/gururoom.com"", ""sector"": ""Insurtech"", ""stage"": ""Seed""}, {""name"": ""DesiCare"", ""logo"": ""https://logo.clearbit.com/desicare.com"", ""sector"": ""Logistics"", ""stage"": ""Growth""}]","[{""company_name"": ""ShipDukaan"", ""amount"": 283000.0, ""date"": ""2026-04-21"", ""stage"": ""Series B""}, {""company_name"": ""HealthTrip"", ""amount"": 316000.0, ""date"": ""2026-01-16"", ""stage"": ""Late Stage""}]","https://images.unsplash.com/photo-1500648767791-00dcc994a43e?w=400&auto=format&fit=crop&q=80","[{""name"": ""Ishita Roy"", ""role"": ""Managing Partner"", ""linkedin"": ""https://www.linkedin.com/company/peakgrowthfund""}, {""name"": ""Sameer Mann"", ""role"": ""Venture Partner"", ""linkedin"": ""https://www.linkedin.com/in/sameer-mann""}, {""name"": ""Shilpa Johal"", ""role"": ""Principal"", ""linkedin"": ""https://www.linkedin.com/in/shilpa-johal""}]"
"1433","Tiger Holdings","Tiger Holdings","Angel Network","https://images.unsplash.com/photo-1614850523459-c2f4c699c52e?w=150&auto=format&fit=crop&q=60","Leading institutional VC backing sector-defining startups in the Creator Economy space.","We partner early with visionary founders who are leveraging technology to solve massive problems in Creator Economy and Cybersecurity. Our goal is to provide structural support from seed to scale.","[""Creator Economy"", ""Cybersecurity"", ""Deeptech""]","[""Idea"", ""Early Traction"", ""Growth""]","[""Growth"", ""Pre-Series A""]","[""SaaS"", ""Freemium"", ""B2C"", ""B2B2C""]","[""Jaipur"", ""Noida""]","36000.0","480000.0","165000.0","112","ArogyaSecure, NovaZone, SwasthZone, BijliDesk, LensMetrics","6","163","https://www.tigerholdings.vc","https://www.linkedin.com/company/tigerholdings","info@tigerholdings.vc","https://www.tigerholdings.vc/apply","true","true","2025-10-20 18:31:29","2026-01-03 18:31:29","### About Tiger Holdings

Tiger Holdings is a leading early/growth stage investor focusing on tech enablement. We backing startups in **Creator Economy**, **Cybersecurity** and related sectors. Our core belief is that technology has the power to democratize access and scale solutions exponentially. 

We act as partners, not just capital providers. We work closely with founders on:
- Product development & roadmap
- Hiring and talent acquisition
- Follow-on fundraising syndication

Interested founders can submit their decks via https://www.tigerholdings.vc/apply.","https://images.unsplash.com/photo-1618005198143-e528346d9a59?w=1200&auto=format&fit=crop&q=80","https://images.unsplash.com/photo-1497366216548-37526070297c?w=600&auto=format&fit=crop&q=80","[{""name"": ""ArogyaSecure"", ""logo"": ""https://logo.clearbit.com/arogyasecure.com"", ""sector"": ""Cybersecurity"", ""stage"": ""Pre-Series A""}, {""name"": ""NovaZone"", ""logo"": ""https://logo.clearbit.com/novazone.com"", ""sector"": ""Cybersecurity"", ""stage"": ""Pre-Series A""}, {""name"": ""SwasthZone"", ""logo"": ""https://logo.clearbit.com/swasthzone.com"", ""sector"": ""Cybersecurity"", ""stage"": ""Pre-Series A""}]","[{""company_name"": ""BharatSecure"", ""amount"": 134000.0, ""date"": ""2025-11-14"", ""stage"": ""Pre-Series A""}, {""company_name"": ""MetaTrip"", ""amount"": 190000.0, ""date"": ""2025-12-22"", ""stage"": ""Growth""}]","https://images.unsplash.com/photo-1573496359142-b8d87734a5a2?w=400&auto=format&fit=crop&q=80","[{""name"": ""Abhishek Bhasin"", ""role"": ""Managing Partner"", ""linkedin"": ""https://www.linkedin.com/company/tigerholdings""}, {""name"": ""Amit Choudhury"", ""role"": ""Associate"", ""linkedin"": ""https://www.linkedin.com/in/amit-choudhury""}]"
"1434","Speciale Partners","Speciale Partners","Angel Network","https://images.unsplash.com/photo-1614850523459-c2f4c699c52e?w=150&auto=format&fit=crop&q=60","Leading institutional VC backing sector-defining startups in the Climate Tech space.","We write early-stage checks for founders targeting deep tech opportunities in Climate Tech and B2B Marketplaces. We back teams with strong scientific breakthroughs and proprietary technology.","[""Climate Tech"", ""B2B Marketplaces"", ""Creator Economy"", ""Cybersecurity"", ""Spacetech""]","[""Scaling"", ""Early Traction"", ""Growth""]","[""Late Stage"", ""Series A"", ""Series B"", ""Pre-Series A""]","[""Marketplace"", ""SaaS"", ""D2C""]","[""Kolkata"", ""Pune"", ""Delhi NCR"", ""Ahmedabad""]","63000.0","840000.0","248000.0","57","HyperBazaar, GridShow, RupeeStack, FlexHub","4","67","https://www.specialepartners.com","https://www.linkedin.com/company/specialepartners","info@specialepartners.com","https://www.specialepartners.com/apply","true","true","2025-12-23 18:31:29","2026-02-27 18:31:29","### About Speciale Partners

Speciale Partners is a leading early/growth stage investor focusing on tech enablement. We backing startups in **Climate Tech**, **B2B Marketplaces** and related sectors. Our core belief is that technology has the power to democratize access and scale solutions exponentially. 

We act as partners, not just capital providers. We work closely with founders on:
- Product development & roadmap
- Hiring and talent acquisition
- Follow-on fundraising syndication

Interested founders can submit their decks via https://www.specialepartners.com/apply.","https://images.unsplash.com/photo-1634017839464-5c339ebe3cb4?w=1200&auto=format&fit=crop&q=80","https://images.unsplash.com/photo-1497366811353-6870744d04b2?w=600&auto=format&fit=crop&q=80","[{""name"": ""HyperBazaar"", ""logo"": ""https://logo.clearbit.com/hyperbazaar.com"", ""sector"": ""Spacetech"", ""stage"": ""Series A""}, {""name"": ""GridShow"", ""logo"": ""https://logo.clearbit.com/gridshow.com"", ""sector"": ""Spacetech"", ""stage"": ""Late Stage""}, {""name"": ""RupeeStack"", ""logo"": ""https://logo.clearbit.com/rupeestack.com"", ""sector"": ""Creator Economy"", ""stage"": ""Late Stage""}]","[{""company_name"": ""GridFlow"", ""amount"": 219000.0, ""date"": ""2025-12-02"", ""stage"": ""Pre-Series A""}, {""company_name"": ""BharatBook"", ""amount"": 241000.0, ""date"": ""2026-04-08"", ""stage"": ""Series B""}, {""company_name"": ""AeroZone"", ""amount"": 248000.0, ""date"": ""2025-09-20"", ""stage"": ""Series B""}]","https://images.unsplash.com/photo-1519085360753-af0119f7cbe7?w=400&auto=format&fit=crop&q=80","[{""name"": ""Pooja Mehta"", ""role"": ""Managing Partner"", ""linkedin"": ""https://www.linkedin.com/company/specialepartners""}, {""name"": ""Sanjay Puri"", ""role"": ""Venture Partner"", ""linkedin"": ""https://www.linkedin.com/in/sanjay-puri""}]"
"1435","IVP Equities","IVP Equities","Early-Stage VC","https://images.unsplash.com/photo-1614850523459-c2f4c699c52e?w=150&auto=format&fit=crop&q=60","Premium angel network syndicate of 500+ operators investing in AI & Machine Learning and Gaming.","We write early-stage checks for founders targeting deep tech opportunities in AI & Machine Learning and Gaming. We back teams with strong scientific breakthroughs and proprietary technology.","[""AI & Machine Learning"", ""Gaming"", ""BioTech"", ""Consumer Internet"", ""CleanTech"", ""Web3"", ""Agritech""]","[""Scaling"", ""Idea""]","[""Growth"", ""Seed"", ""Late Stage"", ""Pre-Series A""]","[""B2B"", ""SaaS"", ""B2B2C"", ""Marketplace"", ""Freemium""]","[""Kolkata"", ""Kochi"", ""Ahmedabad"", ""Mumbai""]","202000.0","5060000.0","1412000.0","171","GridShow, ApexDhan, LensShow, PaisaFlow, LinkBazaar","20","225","https://www.ivpequities.vc","https://www.linkedin.com/company/ivpequities","info@ivpequities.vc","https://www.ivpequities.vc/apply","true","true","2024-07-11 18:31:29","2024-09-03 18:31:29","### About IVP Equities

IVP Equities is a leading early/growth stage investor focusing on tech enablement. We backing startups in **AI & Machine Learning**, **Gaming** and related sectors. Our core belief is that technology has the power to democratize access and scale solutions exponentially. 

We act as partners, not just capital providers. We work closely with founders on:
- Product development & roadmap
- Hiring and talent acquisition
- Follow-on fundraising syndication

Interested founders can submit their decks via https://www.ivpequities.vc/apply.","https://images.unsplash.com/photo-1618005182384-a83a8bd57fbe?w=1200&auto=format&fit=crop&q=80","https://images.unsplash.com/photo-1524758631624-e2822e304c36?w=600&auto=format&fit=crop&q=80","[{""name"": ""GridShow"", ""logo"": ""https://logo.clearbit.com/gridshow.com"", ""sector"": ""Gaming"", ""stage"": ""Late Stage""}, {""name"": ""ApexDhan"", ""logo"": ""https://logo.clearbit.com/apexdhan.com"", ""sector"": ""Gaming"", ""stage"": ""Seed""}, {""name"": ""LensShow"", ""logo"": ""https://logo.clearbit.com/lensshow.com"", ""sector"": ""Gaming"", ""stage"": ""Pre-Series A""}]","[{""company_name"": ""BazaarEasy"", ""amount"": 1637000.0, ""date"": ""2026-03-17"", ""stage"": ""Late Stage""}, {""company_name"": ""OmniStay"", ""amount"": 1423000.0, ""date"": ""2026-02-06"", ""stage"": ""Growth""}]","https://images.unsplash.com/photo-1544005313-94ddf0286df2?w=400&auto=format&fit=crop&q=80","[{""name"": ""Saurabh Dhillon"", ""role"": ""Managing Partner"", ""linkedin"": ""https://www.linkedin.com/company/ivpequities""}, {""name"": ""Aditya Gupta"", ""role"": ""Associate"", ""linkedin"": ""https://www.linkedin.com/in/aditya-gupta""}]"
"1436","GIC Angel Network","GIC Angel Network","Angel Network","https://images.unsplash.com/photo-1618005182384-a83a8bd57fbe?w=150&auto=format&fit=crop&q=60","Independent angel investor and startup operator backing early teams in D2C Brands.","Our syndicate of successful operators and executives invest in early stages of D2C Brands and Edtech. We bring strategic advisory, customer intros, and follow-on connections.","[""D2C Brands"", ""Edtech"", ""AI & Machine Learning"", ""Spacetech"", ""Consumer Internet""]","[""Early Traction"", ""Idea"", ""Growth""]","[""Pre-Series A"", ""Series A"", ""Series B"", ""Series C"", ""Seed""]","[""D2C"", ""Subscription"", ""B2B2C""]","[""Noida"", ""Kolkata""]","25000.0","490000.0","143000.0","54","FlexEasy, PulseRide, CloudGo, ShipPe","3","63","https://www.gicangelnetwork.com","https://www.linkedin.com/company/gicangelnetwork","info@gicangelnetwork.com","https://www.gicangelnetwork.com/apply","false","true","2024-11-30 18:31:29","2025-02-19 18:31:29","### About GIC Angel Network

GIC Angel Network is a leading early/growth stage investor focusing on tech enablement. We backing startups in **D2C Brands**, **Edtech** and related sectors. Our core belief is that technology has the power to democratize access and scale solutions exponentially. 

We act as partners, not just capital providers. We work closely with founders on:
- Product development & roadmap
- Hiring and talent acquisition
- Follow-on fundraising syndication

Interested founders can submit their decks via https://www.gicangelnetwork.com/apply.","https://images.unsplash.com/photo-1557683316-973673baf926?w=1200&auto=format&fit=crop&q=80","https://images.unsplash.com/photo-1531973576160-7125cd663d86?w=600&auto=format&fit=crop&q=80","[{""name"": ""FlexEasy"", ""logo"": ""https://logo.clearbit.com/flexeasy.com"", ""sector"": ""Edtech"", ""stage"": ""Series C""}, {""name"": ""PulseRide"", ""logo"": ""https://logo.clearbit.com/pulseride.com"", ""sector"": ""Spacetech"", ""stage"": ""Series B""}, {""name"": ""CloudGo"", ""logo"": ""https://logo.clearbit.com/cloudgo.com"", ""sector"": ""Spacetech"", ""stage"": ""Seed""}]","[{""company_name"": ""SwasthCare"", ""amount"": 149000.0, ""date"": ""2026-06-28"", ""stage"": ""Series C""}, {""company_name"": ""LensTrip"", ""amount"": 124000.0, ""date"": ""2025-10-10"", ""stage"": ""Series C""}]","https://images.unsplash.com/photo-1580489944761-15a19d654956?w=400&auto=format&fit=crop&q=80","[{""name"": ""Amit Sen"", ""role"": ""Managing Partner"", ""linkedin"": ""https://www.linkedin.com/company/gicangelnetwork""}, {""name"": ""Sanjay Mehta"", ""role"": ""Associate"", ""linkedin"": ""https://www.linkedin.com/in/sanjay-mehta""}]"
"1437","Redpoint Capital","Redpoint Capital","Family Office","https://images.unsplash.com/photo-1541701494587-cb58502866ab?w=150&auto=format&fit=crop&q=60","Early-stage venture capital firm investing in the future of AI & Machine Learning and SaaS.","Our syndicate of successful operators and executives invest in early stages of AI & Machine Learning and SaaS. We bring strategic advisory, customer intros, and follow-on connections.","[""AI & Machine Learning"", ""SaaS"", ""Deeptech"", ""Consumer Internet"", ""Robotics""]","[""Scaling"", ""Prototype"", ""MVP"", ""Early Traction""]","[""Pre-Series A"", ""Pre-Seed""]","[""D2C"", ""Subscription"", ""B2B"", ""SaaS"", ""Freemium""]","[""Kochi"", ""Noida"", ""Chennai""]","395000.0","5210000.0","1752000.0","32","ApexHub, DesiStay, SehatRoom, BioPay, QuantumMoney, DataShow","4","82","https://www.redpointcapital.com","https://www.linkedin.com/company/redpointcapital","info@redpointcapital.com","https://www.redpointcapital.com/apply","false","true","2026-03-10 18:31:29","2026-05-09 18:31:29","### About Redpoint Capital

Redpoint Capital is a leading early/growth stage investor focusing on tech enablement. We backing startups in **AI & Machine Learning**, **SaaS** and related sectors. Our core belief is that technology has the power to democratize access and scale solutions exponentially. 

We act as partners, not just capital providers. We work closely with founders on:
- Product development & roadmap
- Hiring and talent acquisition
- Follow-on fundraising syndication

Interested founders can submit their decks via https://www.redpointcapital.com/apply.","https://images.unsplash.com/photo-1635070041078-e363dbe005cb?w=1200&auto=format&fit=crop&q=80","https://images.unsplash.com/photo-1524758631624-e2822e304c36?w=600&auto=format&fit=crop&q=80","[{""name"": ""ApexHub"", ""logo"": ""https://logo.clearbit.com/apexhub.com"", ""sector"": ""SaaS"", ""stage"": ""Pre-Seed""}, {""name"": ""DesiStay"", ""logo"": ""https://logo.clearbit.com/desistay.com"", ""sector"": ""SaaS"", ""stage"": ""Pre-Series A""}, {""name"": ""SehatRoom"", ""logo"": ""https://logo.clearbit.com/sehatroom.com"", ""sector"": ""Deeptech"", ""stage"": ""Pre-Series A""}]","[{""company_name"": ""UrjaWorks"", ""amount"": 1567000.0, ""date"": ""2026-04-22"", ""stage"": ""Pre-Series A""}, {""company_name"": ""AeroStack"", ""amount"": 1481000.0, ""date"": ""2025-09-09"", ""stage"": ""Pre-Seed""}]","https://images.unsplash.com/photo-1519085360753-af0119f7cbe7?w=400&auto=format&fit=crop&q=80","[{""name"": ""Kriti Nair"", ""role"": ""Managing Partner"", ""linkedin"": ""https://www.linkedin.com/company/redpointcapital""}, {""name"": ""Kunwar Choudhury"", ""role"": ""Venture Partner"", ""linkedin"": ""https://www.linkedin.com/in/kunwar-choudhury""}]"
"1438","Spark Angel Network","Spark Angel Network","Institutional VC","https://images.unsplash.com/photo-1618005198143-e528346d9a59?w=150&auto=format&fit=crop&q=60","Private family office investing in mid-to-late stage technology leaders in BioTech.","We write early-stage checks for founders targeting deep tech opportunities in BioTech and Consumer Internet. We back teams with strong scientific breakthroughs and proprietary technology.","[""BioTech"", ""Consumer Internet"", ""Cybersecurity"", ""CleanTech"", ""Creator Economy"", ""Robotics""]","[""Scaling"", ""MVP""]","[""Seed"", ""Series C"", ""Growth"", ""Late Stage""]","[""SaaS"", ""B2C"", ""Subscription"", ""B2B""]","[""Mumbai"", ""Kolkata"", ""Noida"", ""Ahmedabad""]","2645000.0","49690000.0","13120000.0","306","UrjaFit, BharatZone, PulseMind, InnoMetrics, EduPe, DesiMind, GrowDukaan","40","392","https://www.sparkangelnetwork.vc","https://www.linkedin.com/company/sparkangelnetwork","info@sparkangelnetwork.vc","https://www.sparkangelnetwork.vc/apply","true","true","2025-02-03 18:31:29","2025-04-15 18:31:29","### About Spark Angel Network

Spark Angel Network is a leading early/growth stage investor focusing on tech enablement. We backing startups in **BioTech**, **Consumer Internet** and related sectors. Our core belief is that technology has the power to democratize access and scale solutions exponentially. 

We act as partners, not just capital providers. We work closely with founders on:
- Product development & roadmap
- Hiring and talent acquisition
- Follow-on fundraising syndication

Interested founders can submit their decks via https://www.sparkangelnetwork.vc/apply.","https://images.unsplash.com/photo-1557683316-973673baf926?w=1200&auto=format&fit=crop&q=80","https://images.unsplash.com/photo-1531973576160-7125cd663d86?w=600&auto=format&fit=crop&q=80","[{""name"": ""UrjaFit"", ""logo"": ""https://logo.clearbit.com/urjafit.com"", ""sector"": ""Creator Economy"", ""stage"": ""Late Stage""}, {""name"": ""BharatZone"", ""logo"": ""https://logo.clearbit.com/bharatzone.com"", ""sector"": ""Cybersecurity"", ""stage"": ""Series C""}, {""name"": ""PulseMind"", ""logo"": ""https://logo.clearbit.com/pulsemind.com"", ""sector"": ""CleanTech"", ""stage"": ""Growth""}]","[{""company_name"": ""FinZone"", ""amount"": 14364000.0, ""date"": ""2026-06-17"", ""stage"": ""Growth""}, {""company_name"": ""ShikshaFlow"", ""amount"": 10705000.0, ""date"": ""2026-06-08"", ""stage"": ""Seed""}]","https://images.unsplash.com/photo-1500648767791-00dcc994a43e?w=400&auto=format&fit=crop&q=80","[{""name"": ""Nisha Patel"", ""role"": ""Managing Partner"", ""linkedin"": ""https://www.linkedin.com/company/sparkangelnetwork""}, {""name"": ""Anil Vance"", ""role"": ""Associate"", ""linkedin"": ""https://www.linkedin.com/in/anil-vance""}, {""name"": ""Riya Grover"", ""role"": ""Partner"", ""linkedin"": ""https://www.linkedin.com/in/riya-grover""}]"
